# Created by ield								
# On 11,11,2020								
# unit: meters								
# design frequency: 60000000 Hz								
# Element	X	Y	Z	Magnitude	Phase	Phi	Theta	Gamma
9,12	0.0051348	-0.0023652	0	1	-81.3308	0	0	0
9,13	0.0076348	-0.0023652	0	1	-81.7322	0	0	0
9,14	0.010135	-0.0023652	0	1	-82.1337	0	0	0
9,15	0.012635	-0.0023652	0	0	-82.5352	0	0	0
9,16	0.015135	-0.0023652	0	1	-82.9366	0	0	0
9,17	0.017635	-0.0023652	0	1	-83.3381	0	0	0
9,18	0.020135	-0.0023652	0	1	-83.7395	0	0	0
10,1	-0.022365	0.00013482	0	1	-84.5161	0	0	0
10,2	-0.019865	0.00013482	0	1	-84.0176	0	0	0
10,3	-0.017365	0.00013482	0	1	-83.519	0	0	0
10,4	-0.014865	0.00013482	0	1	-83.0205	0	0	0
10,5	-0.012365	0.00013482	0	1	-82.522	0	0	0
10,6	-0.0098652	0.00013482	0	1	-82.0234	0	0	0
10,7	-0.0073652	0.00013482	0	0	-81.5249	0	0	0
10,8	-0.0048652	0.00013482	0	0	-81.0264	0	0	0
10,9	-0.0023652	0.00013482	0	1	-80.5278	0	0	0
10,10	0.00013482	0.00013482	0	1	-80.0293	0	0	0
10,11	0.0026348	0.00013482	0	1	-79.5308	0	0	0
10,12	0.0051348	0.00013482	0	0	-79.0322	0	0	0
10,13	0.0076348	0.00013482	0	1	-78.5337	0	0	0
10,14	0.010135	0.00013482	0	1	-78.0352	0	0	0
10,15	0.012635	0.00013482	0	1	-77.5366	0	0	0
10,16	0.015135	0.00013482	0	1	-77.0381	0	0	0
10,17	0.017635	0.00013482	0	1	-76.5395	0	0	0
10,18	0.020135	0.00013482	0	0	-76.041	0	0	0
11,1	-0.022365	0.0026348	0	0	-92.1176	0	0	0
11,2	-0.019865	0.0026348	0	1	-90.719	0	0	0
11,3	-0.017365	0.0026348	0	1	-89.3205	0	0	0
11,4	-0.014865	0.0026348	0	1	-87.922	0	0	0
11,5	-0.012365	0.0026348	0	1	-86.5234	0	0	0
11,6	-0.0098652	0.0026348	0	0	-85.1249	0	0	0
11,7	-0.0073652	0.0026348	0	1	-83.7264	0	0	0
11,8	-0.0048652	0.0026348	0	0	-82.3278	0	0	0
11,9	-0.0023652	0.0026348	0	1	-80.9293	0	0	0
11,10	0.00013482	0.0026348	0	1	-79.5308	0	0	0
11,11	0.0026348	0.0026348	0	1	-78.1322	0	0	0
11,12	0.0051348	0.0026348	0	1	-76.7337	0	0	0
11,13	0.0076348	0.0026348	0	1	-75.3352	0	0	0
11,14	0.010135	0.0026348	0	1	-73.9366	0	0	0
11,15	0.012635	0.0026348	0	1	-72.5381	0	0	0
11,16	0.015135	0.0026348	0	1	-71.1395	0	0	0
11,17	0.017635	0.0026348	0	0	-69.741	0	0	0
11,18	0.020135	0.0026348	0	1	-68.3425	0	0	0
12,1	-0.022365	0.0051348	0	0	-99.719	0	0	0
12,2	-0.019865	0.0051348	0	1	-97.4205	0	0	0
12,3	-0.017365	0.0051348	0	1	-95.122	0	0	0
12,4	-0.014865	0.0051348	0	0	-92.8234	0	0	0
12,5	-0.012365	0.0051348	0	0	-90.5249	0	0	0
12,6	-0.0098652	0.0051348	0	1	-88.2264	0	0	0
