#Created by ield								
#On 11,11,2020								
#unit: meters								
#design frequency: 60000000 Hz								
#Element	X	Y	Z	Magnitude	Phase	Phi	Theta	Gamma
1,1	0	0	0	0.44698	0	0	0	0
1,2	0.0025	0	0	0.45452	0.45	0	0	0
1,3	0.005	0	0	0.47614	0.9	0	0	0
1,4	0.0075	0	0	0.50891	1.35	0	0	0
1,5	0.01	0	0	0.54841	1.8	0	0	0
11,13	0.03	0.025	0	0.86189	117.9	0	0	0
11,14	0.0325	0.025	0	0.80208	127.35	0	0	0
11,15	0.035	0.025	0	0.74431	136.8	0	0	0
11,16	0.0375	0.025	0	0.69638	146.25	0	0	0
11,17	0.04	0.025	0	0.66477	155.7	0	0	0
11,18	0.0425	0.025	0	0	165.15	0	0	0
12,1	0	0.0275	0	0.62606	4.95	0	0	0
12,2	0.0025	0.0275	0	0.63663	15.3	0	0	0
12,3	0.005	0.0275	0	0.66691	25.65	0	0	0
12,4	0.0075	0.0275	0	0.71281	36	0	0	0
12,5	0.01	0.0275	0	0.76814	46.35	0	0	0
12,6	0.0125	0.0275	0	0.82541	56.7	0	0	0
12,7	0.015	0.0275	0	0.8769	67.05	0	0	0
12,8	0.0175	0.0275	0	0.91565	77.4	0	0	0
12,9	0.02	0.0275	0	0.93643	87.75	0	0	0
12,10	0.0225	0.0275	0	0.93643	98.1	0	0	0
12,11	0.025	0.0275	0	0.91565	108.45	0	0	0
12,12	0.0275	0.0275	0	0.8769	118.8	0	0	0
12,13	0.03	0.0275	0	0.82541	129.15	0	0	0
12,14	0.0325	0.0275	0	0.76814	139.5	0	0	0
12,15	0.035	0.0275	0	0.71281	149.85	0	0	0
12,16	0.0375	0.0275	0	0.66691	160.2	0	0	0
12,17	0.04	0.0275	0	0.63663	170.55	0	0	0
12,18	0.0425	0.0275	0	0	180.9	0	0	0
13,1	0	0.03	0	0.5893	5.4	0	0	0
13,2	0.0025	0.03	0	0.59925	16.65	0	0	0
13,3	0.005	0.03	0	0.62775	27.9	0	0	0
13,4	0.0075	0.03	0	0.67096	39.15	0	0	0
13,5	0.01	0.03	0	0.72303	50.4	0	0	0
13,6	0.0125	0.03	0	0.77695	61.65	0	0	0
13,7	0.015	0.03	0	0.82541	72.9	0	0	0
13,8	0.0175	0.03	0	0.86189	84.15	0	0	0
13,9	0.02	0.03	0	0.88145	95.4	0	0	0
13,10	0.0225	0.03	0	0.88145	106.65	0	0	0
13,11	0.025	0.03	0	0.86189	117.9	0	0	0
13,12	0.0275	0.03	0	0.82541	129.15	0	0	0
13,13	0.03	0.03	0	0.77695	140.4	0	0	0
13,14	0.0325	0.03	0	0.72303	151.65	0	0	0
13,15	0.035	0.03	0	0.67096	162.9	0	0	0
13,16	0.0375	0.03	0	0.62775	174.15	0	0	0
13,17	0.04	0.03	0	0.59925	185.4	0	0	0
13,18	0.0425	0.03	0	0	196.65	0	0	0
14,1	0	0.0325	0	0.54841	5.85	0	0	0
14,2	0.0025	0.0325	0	0.55767	18	0	0	0
14,3	0.005	0.0325	0	0.58419	30.15	0	0	0
14,4	0.0075	0.0325	0	0.6244	42.3	0	0	0
14,5	0.01	0.0325	0	0.67286	54.45	0	0	0
